         6287009 function calls (6278604 primitive calls) in 260.798 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4202    0.005    0.000    0.070    0.000 <__array_function__ internals>:2(append)
     4307    0.006    0.000    0.039    0.000 <__array_function__ internals>:2(atleast_1d)
    12916    0.009    0.000    0.041    0.000 <__array_function__ internals>:2(atleast_2d)
     8610    0.014    0.000    0.303    0.000 <__array_function__ internals>:2(broadcast_arrays)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(broadcast_to)
    17222    0.011    0.000    0.030    0.000 <__array_function__ internals>:2(can_cast)
     4202    0.005    0.000    0.016    0.000 <__array_function__ internals>:2(concatenate)
        1    0.000    0.000    0.001    0.001 <__array_function__ internals>:2(copyto)
     4304    0.008    0.000    0.360    0.000 <__array_function__ internals>:2(cumsum)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(empty_like)
     4200    0.004    0.000    0.014    0.000 <__array_function__ internals>:2(lexsort)
        1    0.000    0.000    0.001    0.001 <__array_function__ internals>:2(meshgrid)
    38766    0.022    0.000    0.124    0.000 <__array_function__ internals>:2(ndim)
     4200    0.004    0.000    0.018    0.000 <__array_function__ internals>:2(nonzero)
     4202    0.004    0.000    0.018    0.000 <__array_function__ internals>:2(ravel)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(squeeze)
        1    0.000    0.000    0.001    0.001 <__array_function__ internals>:2(tile)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(unique)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(where)
    21527    0.023    0.000    0.033    0.000 <frozen importlib._bootstrap>:389(parent)
        1    0.000    0.000  260.798  260.798 <string>:1(<module>)
    73211    0.018    0.000    0.065    0.000 _asarray.py:14(asarray)
    34242    0.012    0.000    0.059    0.000 _asarray.py:86(asanyarray)
     8610    0.031    0.000    0.460    0.000 _index.py:127(_validate_indices)
     8609    0.035    0.000    0.338    0.000 _index.py:13(_broadcast_arrays)
     8610    0.074    0.000    0.215    0.000 _index.py:246(_unpack_index)
     8610    0.014    0.000    0.015    0.000 _index.py:292(_check_ellipsis)
     4305    0.016    0.000  132.903    0.031 _index.py:32(__getitem__)
     8611    0.018    0.000    0.057    0.000 _index.py:331(_maybe_bool_ndarray)
     8609    0.013    0.000    0.019    0.000 _index.py:340(_first_element_bool)
    17220    0.014    0.000    0.097    0.000 _index.py:355(_compatible_boolean_index)
     4305    0.133    0.000  114.780    0.027 _index.py:75(__setitem__)
     8402    0.004    0.000    0.039    0.000 _methods.py:37(_amax)
     8402    0.003    0.000    0.015    0.000 _methods.py:41(_amin)
     8610    0.007    0.000    0.007    0.000 _util.py:124(_prune_array)
        1    0.000    0.000    0.000    0.000 arraysetops.py:136(_unpack_tuple)
        1    0.000    0.000    0.000    0.000 arraysetops.py:144(_unique_dispatcher)
        1    0.000    0.000    0.000    0.000 arraysetops.py:149(unique)
        1    0.000    0.000    0.000    0.000 arraysetops.py:309(_unique1d)
     4304    0.006    0.000    1.481    0.000 base.py:1191(_process_toarray_args)
    30141    0.010    0.000    0.017    0.000 base.py:1205(isspmatrix)
    25832    0.013    0.000    0.035    0.000 base.py:238(nnz)
        2    0.000    0.000    0.000    0.000 base.py:294(asformat)
    12921    0.015    0.000    0.015    0.000 base.py:66(__init__)
        4    0.000    0.000    0.000    0.000 base.py:673(__getattr__)
   120532    0.018    0.000    0.018    0.000 base.py:80(get_shape)
        1    0.000    0.000    0.019    0.019 base.py:901(tocsr)
     4304    0.018    0.000    8.969    0.002 base.py:917(tocoo)
        1    0.000    0.000    1.662    1.662 base.py:925(tolil)
     4304    0.039    0.000    0.454    0.000 compressed.py:1014(tocoo)
        2    0.000    0.000    0.003    0.001 compressed.py:1060(__get_has_canonical_format)
    17220    0.008    0.000    0.008    0.000 compressed.py:107(getnnz)
        2    0.000    0.000    0.000    0.000 compressed.py:1081(__set_has_canonical_format)
        2    0.000    0.000    0.003    0.001 compressed.py:1089(sum_duplicates)
        2    0.000    0.000    0.000    0.000 compressed.py:1120(__set_sorted)
     4305    0.022    0.000    0.047    0.000 compressed.py:1145(prune)
     4305    0.099    0.000    0.204    0.000 compressed.py:135(check_format)
     4305    0.040    0.000    0.395    0.000 compressed.py:27(__init__)
        1    0.000    0.000    0.001    0.001 construct.py:219(eye)
        1    0.000    0.000    0.000    0.000 construct.py:25(spdiags)
     4305    0.030    0.000    0.280    0.000 coo.py:126(__init__)
     8612    0.011    0.000    0.013    0.000 coo.py:239(getnnz)
     4305    0.059    0.000    0.166    0.000 coo.py:265(_check)
     4304    0.020    0.000    1.526    0.000 coo.py:319(toarray)
        1    0.000    0.000    0.004    0.004 coo.py:372(tocsr)
     4304    0.009    0.000    0.175    0.000 coo.py:526(sum_duplicates)
     4304    0.056    0.000    0.167    0.000 coo.py:537(_sum_duplicates)
        2    1.772    0.886    3.541    1.771 csr.py:149(tolil)
    21523    0.002    0.000    0.002    0.000 csr.py:235(_swap)
     8611    0.006    0.000    0.015    0.000 data.py:20(__init__)
    12812    0.003    0.000    0.003    0.000 data.py:23(_get_dtype)
        1    0.009    0.009    0.015    0.015 dia.py:359(tocoo)
        1    0.000    0.000    0.000    0.000 dia.py:408(isspmatrix_dia)
        1    0.000    0.000    0.000    0.000 dia.py:89(__init__)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:1424(_squeeze_dispatcher)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:1428(squeeze)
     4202    0.001    0.000    0.001    0.000 fromnumeric.py:1701(_ravel_dispatcher)
     4202    0.006    0.000    0.011    0.000 fromnumeric.py:1705(ravel)
     4200    0.001    0.000    0.001    0.000 fromnumeric.py:1812(_nonzero_dispatcher)
     4200    0.003    0.000    0.011    0.000 fromnumeric.py:1816(nonzero)
     4304    0.001    0.000    0.001    0.000 fromnumeric.py:2414(_cumsum_dispatcher)
     4304    0.007    0.000    0.347    0.000 fromnumeric.py:2418(cumsum)
    38766    0.005    0.000    0.005    0.000 fromnumeric.py:3071(_ndim_dispatcher)
    38766    0.031    0.000    0.066    0.000 fromnumeric.py:3075(ndim)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:39(_wrapit)
     8504    0.008    0.000    0.348    0.000 fromnumeric.py:52(_wrapfunc)
     8611    0.005    0.000    0.006    0.000 function_base.py:244(iterable)
        1    0.000    0.000    0.000    0.000 function_base.py:4097(_meshgrid_dispatcher)
        1    0.000    0.000    0.001    0.001 function_base.py:4102(meshgrid)
