         5620840 function calls (5596258 primitive calls) in 173.970 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    12286    0.017    0.000    0.210    0.000 <__array_function__ internals>:2(append)
     4092    0.008    0.000    0.048    0.000 <__array_function__ internals>:2(argsort)
    12291    0.023    0.000    0.178    0.000 <__array_function__ internals>:2(atleast_1d)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(atleast_2d)
    12290    0.024    0.000    0.676    0.000 <__array_function__ internals>:2(broadcast_arrays)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(broadcast_to)
    65572    0.047    0.000    0.134    0.000 <__array_function__ internals>:2(can_cast)
    20470    0.019    0.000    0.111    0.000 <__array_function__ internals>:2(concatenate)
        1    0.000    0.000    0.001    0.001 <__array_function__ internals>:2(copyto)
     4093    0.012    0.000    5.689    0.001 <__array_function__ internals>:2(cumsum)
     8184    0.009    0.000    1.945    0.000 <__array_function__ internals>:2(diff)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(empty_like)
     8192    0.012    0.000    0.043    0.000 <__array_function__ internals>:2(lexsort)
        1    0.000    0.000    0.001    0.001 <__array_function__ internals>:2(meshgrid)
    73744    0.061    0.000    0.276    0.000 <__array_function__ internals>:2(ndim)
     8192    0.008    0.000    0.043    0.000 <__array_function__ internals>:2(nonzero)
    12286    0.012    0.000    0.060    0.000 <__array_function__ internals>:2(ravel)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(squeeze)
        1    0.000    0.000    0.001    0.001 <__array_function__ internals>:2(tile)
     8185    0.009    0.000    0.145    0.000 <__array_function__ internals>:2(unique)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(where)
    49160    0.066    0.000    0.094    0.000 <frozen importlib._bootstrap>:389(parent)
        1    0.000    0.000  173.970  173.970 <string>:1(<module>)
   217158    0.060    0.000    0.246    0.000 _asarray.py:14(asarray)
    86001    0.029    0.000    0.123    0.000 _asarray.py:86(asanyarray)
    24577    0.073    0.000    1.255    0.000 _index.py:127(_validate_indices)
    12289    0.047    0.000    0.722    0.000 _index.py:13(_broadcast_arrays)
    24577    0.213    0.000    0.569    0.000 _index.py:246(_unpack_index)
    24577    0.045    0.000    0.047    0.000 _index.py:292(_check_ellipsis)
    12288    0.050    0.000   35.962    0.003 _index.py:32(__getitem__)
    24578    0.039    0.000    0.088    0.000 _index.py:331(_maybe_bool_ndarray)
    24576    0.045    0.000    0.065    0.000 _index.py:340(_first_element_bool)
    49154    0.040    0.000    0.211    0.000 _index.py:355(_compatible_boolean_index)
    12289    0.325    0.000  137.199    0.011 _index.py:75(__setitem__)
    57346    0.042    0.000   13.570    0.000 _methods.py:37(_amax)
    57346    0.031    0.000   13.261    0.000 _methods.py:41(_amin)
        1    0.000    0.000    0.001    0.001 _methods.py:45(_sum)
    32786    0.027    0.000    0.027    0.000 _util.py:124(_prune_array)
      5/1    0.000    0.000    0.000    0.000 abc.py:100(__subclasscheck__)
        2    0.000    0.000    0.000    0.000 abc.py:96(__instancecheck__)
     8185    0.003    0.000    0.005    0.000 arraysetops.py:136(_unpack_tuple)
     8185    0.001    0.000    0.001    0.000 arraysetops.py:144(_unique_dispatcher)
     8185    0.018    0.000    0.125    0.000 arraysetops.py:149(unique)
     8185    0.064    0.000    0.097    0.000 arraysetops.py:309(_unique1d)
    73746    0.025    0.000    0.047    0.000 base.py:1205(isspmatrix)
    77877    0.042    0.000    0.100    0.000 base.py:238(nnz)
        4    0.000    0.000    0.002    0.001 base.py:294(asformat)
        1    0.000    0.000    0.015    0.015 base.py:405(__add__)
        1    0.000    0.000    0.003    0.003 base.py:425(__sub__)
    24590    0.041    0.000    0.041    0.000 base.py:66(__init__)
        1    0.000    0.000    0.000    0.000 base.py:673(__getattr__)
   254011    0.053    0.000    0.053    0.000 base.py:80(get_shape)
        1    0.000    0.000    0.019    0.019 base.py:901(tocsr)
        1    0.000    0.000    0.039    0.039 base.py:952(tocsc)
        1    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        1    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
